area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
NA,RLASO,2018,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RLASO_1,Louisiana - South Onshore Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,R48,2018,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08R48_1,Lower 48 States Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-IL,SIL,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SIL_MMBBL,Illinois Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,
NA,R48,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_R48_MMBBL,Lower 48 States Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,6451
NA,RCAJ,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RCAJ_MMBBL,California - San Joaquin Basin Onshore Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,43
NA,R1901F,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_R1901F_MMBBL,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,361
USA-AK,SAK,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SAK_MMBBL,Alaska Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,116
NA,RCAL,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RCAL_MMBBL,California - Los Angeles Basin Onshore Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,4
U.S.,NUS,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07NUS_1,U.S. Crude Oil Reserves Extensions (Million Barrels),MMBBL,
USA-NE,SNE,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SNE_1,Nebraska Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RUSF,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07R48F_1,U.S. Federal Offshore Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RTX04,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RTX04_1,Texas - RRC District 4 Onshore Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
U.S.,NUS,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06NUS_1,U.S. Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,1872
USA-MI,SMI,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SMI_1,Michigan Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
USA-IL,SIL,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SIL_1,Illinois Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,
USA-MS,SMS,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SMS_1,Mississippi Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,2
NA,RTX06,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RTX06_1,Texas - RRC District 6 Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,1
USA-OK,SOK,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SOK_1,Oklahoma Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,50
USA-KS,SKS,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SKS_1,Kansas Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,1
USA-WY,SWY,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05SWY_1,Wyoming Crude Oil Reserves Divestitures (Million Barrels),MMBBL,17
NA,RCAC,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RCAC_1,California - Coastal Region Onshore Crude Oil Reserves Divestitures (Million Barrels),MMBBL,5
NA,RTX07B,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RTX07B_1,Texas - RRC District 7B Crude Oil Reserves Divestitures (Million Barrels),MMBBL,0
USA-MS,SMS,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05SMS_1,Mississippi Crude Oil Reserves Divestitures (Million Barrels),MMBBL,1
NA,RTX07C,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RTX07C_1,Texas - RRC District 7C Crude Oil Reserves Divestitures (Million Barrels),MMBBL,38
NA,R44F,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04R44F_1,Gulf of America Federal Offshore  (Western) Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,6
NA,RTX10,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX10_1,Texas - RRC District 10 Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,48
NA,RNMEAST,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RNMEAST_1,New Mexico - East Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,312
USA-PA,SPA,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SPA_1,Pennsylvania Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,0
NA,RUSF,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04R48F_1,U.S. Federal Offshore Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,340
NA,RTX07B,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX07B_1,Texas - RRC District 7B Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,14
NA,RCAC,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RCAC_1,California - Coastal Region Onshore Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,20
USA-IN,SIN,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SIN_1,Indiana Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,
TEXAS,STX,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04STX_1,Texas Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,1654
OHIO,SOH,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SOH_1,Ohio Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,6
NA,RTX06,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX06_1,Texas - RRC District 6 Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,15
USA-AL,SAL,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SAL_1,Alabama Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,14
USA-NE,SNE,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SNE_1,Nebraska Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,0
USA-ND,SND,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SND_1,North Dakota Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,343
USA-AK,SAK,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SAK_1,Alaska Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,465
USA-MT,SMT,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SMT_1,Montana Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,10
NA,R48,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03R48_1,Lower 48 States Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,3825
USA-OK,SOK,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SOK_1,Oklahoma Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,114
